Date,usd_try,gold_try,xau_usd_oz
04/01/2025,38.5017,4091.124,3305.00
05/01/2025,39.2085,4145.929,3288.90
06/01/2025,39.8266,4218.330,3294.40
07/01/2025,40.6628,4305.330,3293.20
08/01/2025,41.1424,4594.867,3473.70
09/01/2025,41.5827,5134.822,3840.80
10/01/2025,42.0268,5380.720,3982.20
11/01/2025,42.4851,5761.892,4218.30
12/01/2025,42.9520,5973.387,4325.60
01/01/2026,43.4551,6585.855,4713.90
02/01/2026,43.9554,7391.737,5230.50
03/01/2026,44.4549,6642.620,4647.60
04/01/2026,45.1410,6697.392,4614.70
05/01/2026,45.8977,6729.681,4560.50
06/01/2026,46.6547,6034.283,4022.90
07/01/2026,47.5014,6183.808,4049.10
